P00,3.043,,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,
P01,2.949,,3.043,2.949,3.759,5.103,3.063,5.625,3.595,5.354,5.219,5.482,5.284,4.11,4.176,4.592,4.07,4.3616
P02,3.759,,,,,,,,,,,,,,,,,
P03,5.103,,,,,,,,,,,,,,,,,
P04,3.063,,,,,,,,,,,,,,,,,
P05,5.625,,,,,,,,,,,,,,,,,
P06,3.595,,,,,,,,,,,,,,,,,
P07,5.354,,,,,,,,,,,,,,,,,
P08,5.219,,,,,,,,,,,,,,,,,
P09,5.482,,,,,,,,,,,,,,,,,
P10,5.284,,,,,,,,,,,,,,,,,
P11,4.11,,,,,,,,,,,,,,,,,
P12,4.176,,,,,,,,,,,,,,,,,
P13,4.592,,,,,,,,,,,,,,,,,
P14,4.07,,,,,,,,,,,,,,,,,
