P00,3.455,,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,
P01,2.953,,3.455,2.953,3.611,5.29,3.258,5.292,3.915,5.498,5.057,5.591,5.157,4.317,4.099,5.358,4.422,4.484866667
P02,3.611,,,,,,,,,,,,,,,,,
P03,5.29,,,,,,,,,,,,,,,,,
P04,3.258,,,,,,,,,,,,,,,,,
P05,5.292,,,,,,,,,,,,,,,,,
P06,3.915,,,,,,,,,,,,,,,,,
P07,5.498,,,,,,,,,,,,,,,,,
P08,5.057,,,,,,,,,,,,,,,,,
P09,5.591,,,,,,,,,,,,,,,,,
P10,5.157,,,,,,,,,,,,,,,,,
P11,4.317,,,,,,,,,,,,,,,,,
P12,4.099,,,,,,,,,,,,,,,,,
P13,5.358,,,,,,,,,,,,,,,,,
P14,4.422,,,,,,,,,,,,,,,,,
avg,=,,,,,,,,,,,,,,,,,
