P00,3.349,7682,29,,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,
P01,2.967,6279,24,,3.349,2.967,3.433,5.167,3.385,5.095,3.82,5.442,5.286,5.433,5.178,4.357,4.214,5.295,4.579,4.466666667
P02,3.433,1633,7,,,,,,,,,,,,,,,,,
P03,5.167,6049,23,,,,,,,,,,,,,,,,,
P04,3.385,8809,33,,,,,,,,,,,,,,,,,
P05,5.095,2001,8,,,,,,,,,,,,,,,,,
P06,3.82,3818,15,,,,,,,,,,,,,,,,,
P07,5.442,2185,9,,,,,,,,,,,,,,,,,
P08,5.286,5221,20,,,,,,,,,,,,,,,,,
P09,5.433,2208,9,,,,,,,,,,,,,,,,,
P10,5.178,230,1,,,,,,,,,,,,,,,,,
P11,4.357,598,3,,,,,,,,,,,,,,,,,
P12,4.214,10994,39,,,,,,,,,,,,,,,,,
P13,5.295,8165,29,,,,,,,,,,,,,,,,,
P14,4.579,3404,13,,,,,,,,,,,,,,,,,
