P00,3.287,5750,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,
P01,2.97,5106,3.287,2.97,3.524,5.418,3.187,5.235,3.847,5.326,4.807,5.51,4.855,4.425,3.974,5.203,4.227,4.386333333
P02,3.524,621,5750,5106,621,11500,6854,1564,7889,4922,3841,7130,184,529,10419,5589,2277,
P03,5.418,11500,23,21,3,46,28,7,32,20,16,29,1,3,42,23,9,
P04,3.187,6854,,,,,,,,,,,,,,,,
P05,5.235,1564,,,,,,,,,,,,,,,,
P06,3.847,7889,,,,,,,,,,,,,,,,
P07,5.326,4922,,,,,,,,,,,,,,,,
P08,4.807,3841,,,,,,,,,,,,,,,,
P09,5.51,7130,,,,,,,,,,,,,,,,
P10,4.855,184,,,,,,,,,,,,,,,,
P11,4.425,529,,,,,,,,,,,,,,,,
P12,3.974,10419,,,,,,,,,,,,,,,,
P13,5.203,5589,,,,,,,,,,,,,,,,
P14,4.227,2277,,,,,,,,,,,,,,,,
